supConstruida,terreno,title,valorCLP,valorUF,x,y
20,20,Arturo Prat 993,270000,9,-33.45764,-70.64772
28,28,Eleuterio Ramírez 780,280000,10,-33.44848,-70.64655
28,30,Blanco Encalada 2007,270271,9,-33.45685,-70.66266
20,20,padre luis de valdivia 346,270000,9,-33.43939,-70.64176
35,38,"Curicó, Santiago",270000,9,-33.44560,-70.63993
30,30,san isidro / curico,270000,9,-33.44648,-70.64387
38,38,San Pablo - Maipu,270000,9,-33.43549,-70.67664
35,40,PRESIDENTE BALMACEDA - CUETO,270000,9,-33.42759,-70.67375
35,40,PARQUE LOS REYES - BARRIO YUNGAY,270000,9,-33.42773,-70.67369
25,25,Ismael Valdés Vergara 492,270000,9,-33.43576,-70.64416
32,64,Metro ULA,270000,9,-33.44716,-70.67121
34,36,Mario Kreutzberger 1520,270000,9,-33.43590,-70.65900
36,72,Santo Domingo 1736,270000,9,-33.43743,-70.66188
40,40,San Isidro / Alonso Ovalle,270000,9,-33.44460,-70.64450
30,30,Barrio Yungay - Metro Quinta Normal,270000,9,-33.43710,-70.67680
35,35,2 cuadras metro Bellas Artes (Monjitas esquina Mac Iver),270000,9,-33.43701,-70.64736
38,40,Vicuña Mackenna 1725,270000,9,-33.46652,-70.62747
30,63,Metro Rondizzoni - Parque O’Higgins,270000,9,-33.46800,-70.65584
33,35,Mac Iver / Monjitas,270000,9,-33.43663,-70.64740
35,35,San Isidro / metro Santa Lucia,270000,9,-33.44299,-70.64496
30,30,Metro Irarrázaval - V. Mackenna - Av.Mat,280000,10,-33.45930,-70.62910
35,38,Argomedo 320,270000,9,-33.45008,-70.63564
29,30,Metro Santa Ana - Metro Santa Ana,280000,10,-33.43820,-70.65990
34,36,"Embajador Quintana 4334, Santiago, Estac",270000,9,-33.45120,-70.69430
32,35,Lord cochrane  184,280000,10,-33.44841,-70.65474
45,47,Presidente Balmaceda 2914,280000,10,-33.42690,-70.67717
30,35,San Pablo  / San Martin,280000,10,-33.43420,-70.65890
33,33,"Portales 2847, Santiago, Región Metropol",280000,10,-33.44300,-70.67470
28,30,Depto 1D+1B 30m2 Total Av. Portugal/Coquimbo,280000,10,-33.45411,-70.63360
32,32,Metro Santa Lucía - San Isidro / Alonso,280000,10,-33.44530,-70.64390
32,32,Avenida Portugal 564 - Departamento 402,280000,10,-33.44916,-70.63481
30,33,Matro Santa Isabel,280000,10,-33.44775,-70.63359
35,35,Almirante Montt 443 - Departamento 21,280000,10,-33.43735,-70.64495
34,34,Manuel Rodriguez Norte 881 - Departamento 607,280000,10,-33.43659,-70.65714
36,36,Avenida Vicuña Mackenna 881 - Departamento 1601B,280000,10,-33.46912,-70.64200
30,32,Vicuña Mackenna/Metro Santa Isabel,280000,10,-33.44900,-70.63202
34,36,San Isidro 520,280000,10,-33.45062,-70.64287
44,50,Bandera 898,280000,10,-33.43326,-70.65331
32,32,carmen  110,280000,10,-33.44454,-70.64262
21,21,San Diego - Tarapacá,280000,10,-33.44723,-70.65130
40,40,Catedral / Brasil,270000,9,-33.43864,-70.66503
30,32,METRO U. DE CHILE,280000,10,-33.44710,-70.64840
27,27,Metro Santa Lucía,280000,10,-33.44492,-70.64406
44,46,José Miguel Carrera 298 - Departamento 516-B,280000,10,-33.45122,-70.66321
26,26,"Metro Sta. Ana y Cal y Canto, Barrio Dieciocho",280000,10,-33.43323,-70.65973
50,50,Metro Santa Ana - San Martin / Agustinas,270000,9,-33.44140,-70.65840
30,30,Barrio Londres - Serrano / Alonso de Ova,270000,9,-33.44570,-70.64910
34,34,"San Diego 1721, Santiago, Región Metropo",270000,9,-33.46900,-70.64890
30,31,Metro Rondizzoni - San Ignacio / Pedro L,270000,9,-33.46660,-70.65460
25,25,Avenida Santa Rosa TIPO ESTUDIO 237,265000,9,-33.44709,-70.64546
33,35,CHILOE CON AVENIDA MATTA,270000,9,-33.46090,-70.64620
29,29,Sara del Campo 535,263000,9,-33.44428,-70.64346
29,30,Estación Mapocho - San Martín,270000,9,-33.43220,-70.65940
29,29,Sara del Campo TIPO ESTUDIO 535,262500,9,-33.44428,-70.64346
32,34,San Diego 255,260000,9,-33.44850,-70.65097
29,29,Maipú 848,265000,9,-33.43499,-70.67719
31,33,San Isidro / Marín / Metro Santa Lucía,268353,9,-33.44760,-70.64347
32,34,Tarapacá 876,260000,9,-33.44717,-70.64839
30,30,Amunátegui / Santo Domingo,265000,9,-33.43578,-70.65712
24,24,Metro Bellas Artes,265000,9,-33.43662,-70.64464
27,27,Morandé  924,265000,9,-33.43314,-70.65487
33,33,Av. España,265557,9,-33.45150,-70.66960
35,40,SANTA ISABEL 765 - Departamento 1101,265000,9,-33.45056,-70.64642
30,30,Santo Domingo/Plaza de Armas,265557,9,-33.43650,-70.65700
30,30,Catedral esquina Teatinos,265000,9,-33.43756,-70.65530
30,30,san diego  1344,270000,9,-33.46291,-70.64802
37,37,Padre Miguel de Olivares 1428,265000,9,-33.44914,-70.65541
29,29,Sara del Campo 535,268500,9,-33.44428,-70.64346
30,30,Lord Cochrane 209,270000,9,-33.44957,-70.65490
35,35,Eleuterio Ramirez 1D/1B Metro P. Almagro - Metro U. de Chile,270000,9,-33.44926,-70.64989
35,35,Serrano 65,270000,9,-33.44528,-70.64936
30,32,Mario Kreutzberger  1520,270000,9,-33.43590,-70.65900
30,30,Santa Isabel 517 - Departamento Santiago,270000,9,-33.44977,-70.64196
31,33,Mario Kreutzberger 1520,270000,9,-33.43590,-70.65900
32,34,METRO SANTA ANA,270000,9,-33.43910,-70.66039
26,26,SANTO DOMINGO / AMUNATEGUI,270000,9,-33.43669,-70.65695
30,30,Coquimbo 56 Santiago,270000,9,-33.44823,-70.63372
30,34,Portugal 968,270000,9,-33.46912,-70.64200
35,35,Avenida Vicuña Mackenna 933,270000,9,-33.45367,-70.63061
35,35,SAN MARTIN / SAN PABLO,270000,9,-33.43441,-70.65887
35,35,Santo Domingo 652 - Departamento 807,270000,9,-33.43572,-70.64657
28,30,Amunategui / Metro Santa Ana,270000,9,-33.44061,-70.65659
35,35,huerfanos  / miraflores,270000,9,-33.43923,-70.64504
32,32,García Reyes 8,270000,9,-33.44803,-70.67052
30,36,Metro Nuble,270000,9,-33.47232,-70.62642
33,39,Depto frente a Parque Los Reyes ocn bodega.,270000,9,-33.42766,-70.67417
35,37,Mario Kreutzberger 1520 - Departamento 808,270000,9,-33.43590,-70.65900
50,50,Metro Irrarazabal,260000,9,-33.46129,-70.62838
35,36,Santiago  1320,270000,9,-33.46260,-70.65145
30,32,Mario Kreutzberger 1520,270000,9,-33.43590,-70.65900
40,46,SANTIAGO 1320 - Departamento 1523,270000,9,-33.46260,-70.65145
32,40,Matta / Nataniel Cox,270000,9,-33.46298,-70.65112
36,36,José Miguel Carrera 476 - Departamento 309,260000,9,-33.45339,-70.66283
34,34,Matucana 1251 - Departamento 1810,260000,9,-33.43095,-70.67971
30,30,Jose Miguel Carrera 601 - Departamento 101,260000,9,-33.45738,-70.65195
29,31,San Diego / Eleuterio Ramirez,260000,9,-33.44946,-70.65088
35,40,Manuel Rodriguez / Metro Santa Ana,260000,9,-33.43325,-70.66095
28,29,san diego 1344,260000,9,-33.46291,-70.64802
30,30,Cóndor 1358 - Departamento 1302,260000,9,-33.45109,-70.65383
30,30,Cóndor 1358 - Departamento 902,260000,9,-33.45109,-70.65383
30,30,General Baquedano / San Pablo / Brasil,260000,9,-33.43529,-70.66617
38,40,Catedral 1837 - Departamento 516-b,260000,9,-33.43853,-70.66293
24,24,COMPAÑIA DE JESUS 960 - Departamento 329,260000,9,-33.46912,-70.64200
24,24,Mario Kreutzberger 1520,260000,9,-33.43590,-70.65900
29,29,San Eugenio 1551,260000,9,-33.43095,-70.67971
32,32,cienfuegos 78,260000,9,-33.44387,-70.66317
45,45,General Bulnes 749,260000,9,-33.43587,-70.67075
28,30,"Carlos Pezoa Véliz 143, Santiago, Estaci",260000,9,-33.45540,-70.70290
26,26,Avenida Vicuña Mackenna 881 - Departamento 1701B,260000,9,-33.46912,-70.64200
26,26,General Mackena,260000,9,-33.43320,-70.65970
25,25,ARRIENDOS Lira con Marin,260000,9,-33.44650,-70.63980
27,27,Blanco Encalada 1727 - Departamento ESTUDIO,260000,9,-33.45637,-70.65856
20,20,Arturo Prat con Condor,260000,9,-33.46912,-70.64200
30,30,santo domingo 1391,240000,8,-33.43660,-70.65695
23,23,Avenida Santa Rosa 325 - Departamento 1002,240000,8,-33.44857,-70.64522
34,36,Mario Kreutzberger 1520,240000,8,-33.43590,-70.65900
33,33,Catedral 1402 - Departamento 1009,240000,8,-33.43820,-70.65704
30,30,santo domingo 1391,240000,8,-33.43660,-70.65695
23,23,Serrano 62,240000,8,-33.44521,-70.64910
34,34,Santo Domingo 1736,240000,8,-33.43743,-70.66188
30,30,Metro Sta Ana,240000,8,-33.43375,-70.65916
21,21,San Diego 313,240000,8,-33.44951,-70.65091
30,30,Metro Sta Ana,240000,8,-33.43375,-70.65916
25,25,Catedral 1582 - Departamento 1711,240000,8,-33.43820,-70.65704
30,30,Metro Sta Ana,240000,8,-33.43375,-70.65916
30,30,Departamento Calle Zenteno,240000,8,-33.46575,-70.64986
